Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, 101, 1881, 67600, 1.6, 371.6, 1463, 0, 
5, 102, 7920, 56625.2, 0.7, 383.5, 1155.6, 0, 
10, 101, 1881, 1489.7, 421.9, 624, 18292.8, 0, 
10, 102, 7920, 60195, 741, 392.3, 1277.7, 0, 
15, 101, 1881, 1489.7, 421.9, 624, 18292.8, 0, 
15, 102, 7920, 60195, 741, 392.3, 1277.7, 0, 
20, 101, 1881, 1807.7, 437.4, 316, 8566.6, 0, 
20, 102, 7920, 63871.6, 762.1, 402.3, 1374.3, 0, 
25, 101, 1881, 1844.3, 393.7, 292.6, 8374.8, 0, 
25, 102, 7920, 63341.2, 725.8, 385.1, 1371.8, 0, 
30, 101, 1881, 1935.9, 433.5, 284.1, 5197.5, 0, 
30, 102, 7920, 66830.3, 766.8, 402.4, 1455.2, 0, 
35, 101, 1881, 1935.9, 433.5, 284.1, 5197.5, 0, 
35, 102, 7920, 66830.3, 766.8, 402.4, 1455.2, 0, 
40, 101, 1881, 2021.6, 439.8, 262.4, 4186.5, 0, 
40, 102, 7920, 70434.7, 782, 410.5, 1525.9, 0, 
45, 101, 1881, 1982.7, 387.6, 233.5, 3952.7, 0, 
45, 102, 7920, 69830.6, 742.3, 391.7, 1525.5, 0, 
50, 101, 1881, 2013.5, 427, 251, 3742.4, 0, 
50, 102, 7920, 73192.2, 778.9, 406.9, 1590.9, 0, 
