Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_fraxamer,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_querrubr,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,
5, 1, MaxAgeClearcut, 4, 1, 9, 9, 29, 29, 30799.14, 1062.0393, 0, 181, 29, 13, 13, 13, 0, 13, 29, 0, 16, 16, 0, 0, 13, 13, 13, 1185.8400000000004, 745.94, 2114.8400000000006, 2237.0399999999995, 0, 1930.76, 3822.749999999998, 0, 2002.0800000000008, 8821.44, 0, 0, 1411.6699999999998, 5305.5599999999995, 1221.2200000000003, 
5, 1, MaxAgeClearcut, 36, 2, 9, 9, 113, 113, 55667.91, 492.6364, 0, 660, 33, 63, 33, 63, 60, 63, 3, 13, 0, 30, 97, 13, 63, 63, 63, 419.1600000000001, 2191.140000000001, 1288.4400000000003, 3729.8399999999974, 7027.500000000003, 3810.360000000004, 176.13, 1175.9800000000002, 0, 13029.299999999997, 9955.440000000013, 2800.069999999999, 3454.7700000000023, 4438.56, 2171.22, 
5, 1, MaxAgeClearcut, 35, 3, 9, 9, 72, 72, 19122.51, 265.5904, 0, 141, 0, 4, 0, 2, 2, 2, 0, 49, 2, 2, 23, 49, 2, 2, 2, 0, 100.25999999999999, 0, 69.04, 163.48, 76.52, 0, 4444.700000000001, 599.1, 868.62, 2240.1999999999994, 10424.449999999999, 62.38, 49.78, 23.98, 
5, 1, MaxAgeClearcut, 38, 4, 9, 9, 73, 73, 72865.16, 998.1529, 0, 606, 66, 59, 52, 59, 26, 59, 47, 0, 14, 21, 26, 0, 59, 59, 59, 2137.8399999999983, 2805.160000000003, 5875.360000000003, 7299.680000000002, 3469.870000000001, 6573.080000000004, 4614.51, 0, 1751.8200000000006, 10758.93, 3030.3200000000015, 0, 5190.889999999999, 15204.940000000011, 4152.759999999999, 
5, 1, MaxAgeClearcut, 40, 5, 9, 9, 65, 65, 52861.36, 813.2517, 0, 625, 51, 65, 51, 65, 54, 65, 11, 0, 0, 14, 54, 0, 65, 65, 65, 855.1200000000006, 2527.8400000000015, 2856.679999999999, 5280.159999999999, 7244.760000000005, 5125.360000000003, 645.8100000000001, 0, 0, 6080.340000000002, 6321.160000000007, 0, 4555.550000000001, 8127.78, 3240.7999999999984, 
5, 1, MaxAgeClearcut, 37, 6, 9, 9, 78, 78, 23536.65, 301.7519, 0, 189, 0, 14, 0, 6, 6, 6, 0, 47, 8, 6, 31, 47, 6, 6, 6, 0, 339.8599999999999, 0, 207.12000000000003, 490.44, 229.55999999999997, 0, 4300.26, 2396.4, 2605.86, 2954.039999999999, 9604.690000000002, 187.14000000000001, 149.34, 71.94, 
5, 1, MaxAgeClearcut, 39, 7, 9, 9, 47, 47, 39510.7, 840.6532, 0, 422, 33, 44, 32, 44, 32, 44, 13, 0, 1, 13, 34, 0, 44, 44, 44, 742.3700000000002, 1789.8400000000006, 2485.7599999999993, 3931.199999999998, 4031.080000000001, 3719.3600000000024, 895.7400000000001, 0, 125.13, 5763.060000000001, 3755.5200000000023, 0, 3139.5600000000013, 6841.120000000001, 2290.9599999999987, 
5, 1, MaxAgeClearcut, 41, 8, 9, 9, 105, 105, 70041.88, 667.0655, 0, 713, 50, 71, 47, 70, 50, 70, 23, 10, 4, 26, 72, 10, 70, 70, 70, 1228.5700000000006, 2861.8800000000024, 3973.9599999999973, 6195.760000000003, 5997.790000000002, 5845.680000000005, 1747.8600000000006, 910.6800000000001, 674.94, 11643.150000000001, 7522.480000000005, 2089.0699999999993, 4863.140000000001, 10955.62, 3531.2999999999965, 
5, 1, MaxAgeClearcut, 45, 9, 9, 9, 135, 135, 43406.36, 321.5286, 0, 419, 4, 33, 4, 28, 27, 28, 1, 47, 5, 24, 87, 47, 28, 28, 28, 71.54, 999.37, 242.72000000000003, 1218.36, 2419.289999999999, 1288.4599999999998, 58.71, 4282.020000000001, 1497.75, 10423.44, 8242.139999999998, 9799.18, 1076.480000000001, 1252.230000000001, 534.6700000000002, 
25, 1, MaxAgeClearcut(1), 4, 1, 0, 9, 29, 29, 448.76, 15.4745, 0, 76, 0, 51, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 10, 11, 0, 422.83, 0, 0, 0, 6.829999999999999, 0, 0, 0, 0, 0, 0, 0, 7.24, 11.86, 
